消防栓编号,施工地址或工程编号,工程编号,安装日期,所属公司,消防栓口径,样式,本点号,地面高程,横坐标,纵坐标,管理单位,所属区县,录入人员,录入时间,目前状况,备注,设备类别,关键字,设备类型,埋设深度,管顶高程,材质,所在道路
2763,2007-维修-042,,2007/9/12,,100,,J2007W042GX6,5.12,511605.961,2549425.434,,禅城区,,,, ,XHS,5733998,消防栓,-0.5,5.62, ,                                                            
2764,2007-维修-045,,2007/9/12,,100,,J2007W045GX6,4.21,510577.971,2549373.647,,禅城区,,,, ,XHS,5733999,消防栓,-0.5,4.71, ,                                                            
2766,2007-维修-053,,2007/9/12,,100,,J2007W053GX8,2.68,510939.251,2545724.516,,禅城区,,,, ,XHS,5734000,消防栓,-0.7,3.38, ,                                                            
2767,2007-维修-053,,2007/9/12,,100,,J2007W053GX14,2.61,510940.022,2545562.82,,禅城区,,,, ,XHS,5734001,消防栓,-0.8,3.41, ,                                                            
2769,2007-维修-090,,2007/9/6,,100,,J2007W090GX4,3.074,504726,2548585.335,,禅城区,,,, ,XHS,5734003,消防栓,-0.8,2.274, ,                                                            
2770,2007-维修-093,,2007/9/6,,100,,J2007W093GX11,3.995,505131.459,2549934.733,,禅城区,,,, ,XHS,5734004,消防栓,-0.8,4.795, ,                                                            
2772,2007-维修-0082,,2007/9/12,,100,,J2007W0082GX5,3.46,509476.198,2549618.573,,禅城区,,,, ,XHS,5734005,消防栓,-0.9,4.36, ,                                                            
2774,2007-维修-036,,2007/8/13,,100,,J2007W036GX3,6.3,506637.516,2545568.742,,禅城区,,,, ,XHS,5734007,消防栓,-0.9,7.2, ,                                                            
2775,2007-维修-061,,2007/9/10,,100,,J2007W061GX5,6.83,508613.72,2544338.256,,禅城区,,,, ,XHS,5734008,消防栓,-0.8,7.63, ,                                                            
3088, ,,2009/6/28,,100,,J20081181GX6,2.506,509816.832,2552458.027,,禅城区,,,, ,XHS,5734010,消防栓,-0.7,3.206, ,                                                            
3089, ,,2009/4/17,,100,,J20090236GX4,4.066,504963.233,2547922.282,,禅城区,,,, ,XHS,5734011,消防栓,-0.68,4.746, ,                                                            
3090, ,,2009/4/23,,100,,J20090269GX15,3.465,512506.541,2543426.519,,禅城区,,,, ,XHS,5734012,消防栓,-0.68,4.145, ,                                                            
1612, ,,2001/7/25,,0,,Jzq08663,0,511123.563,2547760.79,,禅城区,,,,消防栓,XHS,5732541, ,0,2.48, ,                                                            
1613, ,,2001/7/25,,0,,Jzq09736,0,511197.375,2547711.816,,禅城区,,,,消防栓,XHS,5732542, ,0,2.95, ,                                                            
1614, ,,2000/6/27,,0,,Jdf14219,0,504459.426,2548491.376,,禅城区,,,,消防栓,XHS,5732543, ,0,2.23, ,                                                            
1928, ,,,,0,,Jjq16272,0,505984.85,2550002.632,,禅城区,,,,消防栓,XHS,5732956, ,0,2.29, ,                                                            
1929, ,,,,0,,Jls08432,0,513242.068,2543012.596,,禅城区,,,,消防栓,XHS,5732957, ,0,2.57, ,                                                            
1930, ,,,,0,,Jls0856,0,513464.678,2543140.643,,禅城区,,,,消防栓,XHS,5732958, ,0,2.69, ,                                                            
1931, ,,,,0,,Jls05517,0,513551.821,2543216.717,,禅城区,,,,消防栓,XHS,5732959, ,0,0.99, ,                                                            
1932, ,,,,0,,Jls05532,0,513641.82,2543263.037,,禅城区,,,,消防栓,XHS,5732960, ,0,2.49, ,                                                            
1471, ,,,,100,, ,7.907,507294.007,2546109.863,,禅城区,,,, ,XHS,5732962, ,-0.7,4.907, ,                                                            
1534, ,,1996/12/12,,0,,Jdq13320,0,512431.441,2546039.456,,禅城区,,,,消防栓,XHS,5732963, ,0,1.33, ,                                                            
1537, ,,1997/7/26,,0,,Jdq10813,0,513315.384,2546465.961,,禅城区,,,,消防栓,XHS,5732964, ,0,1.75, ,                                                            
1491, ,,,,0,,Jzc16111,0,505649.66,2547505.164,,禅城区,,,,消防栓,XHS,5732965, ,0,0, ,                                                            
1713, ,,1997/7/10,,0,,Jdf1439,0,504743.392,2548408.316,,禅城区,,,,消防栓,XHS,5732967, ,0,3.75, ,                                                            
1865, ,,,,100,,J2003JJ0003GX5,2.361,503709.711,2547497.485,,禅城区,,,, ,XHS,5732968,消防栓,-0.5,2.861, ,                                                            
